1900.0 572.5668391101906 -5.04427056389032 1958.1779999999999 9.03
1901.0 573.0239696499376 -4.9091872880381615 2024.184 8.95
1902.0 558.0661838247967 -5.418014240961069 2075.522 9.03
1903.0 585.9440679427494 -5.339788110018969 2262.5389999999998 8.84
1904.0 571.680423348858 -5.5331842415358885 2288.208 8.8
1905.0 569.1365192274525 -5.316797795596942 2431.221 8.81
1906.0 578.5138687704824 -5.203745257803077 2592.569 8.9
1907.0 558.0585187101188 -5.635025794677256 2874.928 8.82
1908.0 581.8031945162988 -5.120023926539076 2750.25 8.88
1909.0 591.2510087946201 -5.394067942748736 2878.595 8.92
1910.0 581.1520779444768 -5.177268710122432 3003.2729999999997 9.07
1911.0 579.0472107259809 -5.258115623383352 3065.6119999999996 9.16
1912.0 584.5557509915493 -5.612847042593554 3223.2929999999997 9.13
1913.0 605.9638515261228 -5.380928464677862 3457.9809999999998 9.16
1914.0 542.9103638558379 -5.085183867908252 3116.95 9.04
1915.0 608.3124978444546 -5.306192878082422 3072.946 8.95
1916.0 615.8142783238499 -5.4520887221934755 3303.9669999999996 9.14
1917.0 613.6425375064653 -5.276024961200212 3501.9849999999997 9.3
1918.0 589.8050137954857 -5.356212996493636 3432.312 9.25
1919.0 565.0480815657844 -5.147203540840382 2955.602 9.04
1920.0 590.1869977582348 -5.233985026153948 3417.644 8.95
1921.0 596.1151707190899 -5.06525801862393 2944.6009999999997 8.97
1922.0 628.1015907915173 -5.1869722509627865 3098.615 8.9
1923.0 588.1189558544597 -5.141070299476939 3556.99 8.77
1924.0 588.8477582341775 -5.146599269989054 3531.321 8.92
1925.0 610.3719736161395 -5.135069624073147 3575.325 8.72
1926.0 568.0617132264213 -4.956127493245953 3604.6609999999996 8.98
1927.0 601.796947749615 -5.329627593837996 3894.354 9.01
1928.0 600.208104845663 -5.291644751968714 3905.355 8.98
1929.0 640.0103293671332 -5.480327427142598 4198.715 9.03
1930.0 557.0313890325907 -5.326236563775357 3861.3509999999997 8.79
1931.0 583.7532160717377 -4.979657052940152 3446.98 8.77
1932.0 604.1652396965005 -5.05427803644305 3105.949 8.93
1933.0 591.2268020348367 -5.394422170489181 3274.631 8.75
1934.0 593.7101181238197 -4.957574581824461 3567.991 9.25
1935.0 616.1998189342946 -5.270378513536809 3766.009 9.19
1936.0 569.789248146232 -4.97030953612692 4143.71 8.95
1937.0 574.7732841869323 -4.746499037190308 4433.402999999999 9.04
1938.0 600.7613683393689 -4.879279832729824 4187.714 8.81
1939.0 579.5233574754257 -5.212062065298635 4371.063999999999 9.0
1940.0 575.8794059320543 -4.78142280278206 4763.433 8.6
1941.0 582.8971288153103 -5.0363845059493295 4891.777999999999 9.14
1942.0 564.5617563372982 -5.060094772087148 4921.114 9.14
1943.0 586.5622391791704 -4.602104170259247 5100.797 9.11
1944.0 585.4393257458195 -4.8834109329194595 5071.460999999999 9.09
1945.0 606.3327125366469 -5.18219269126862 4253.719999999999 9.04
1946.0 586.3968270391437 -4.999878930275357 4539.746 9.3
1947.0 592.4085963097107 -4.801162916020005 5104.464 9.13
1948.0 571.74796085532 -5.189435678565269 5386.822999999999 9.27
1949.0 589.0789187790959 -5.543556360292021 5203.473 9.43
1950.0 619.7866313157448 -5.506967077657076 5977.21 9.3
1951.0 562.1568546301083 -5.190815945277895 6479.589 9.34
1952.0 567.7574236937412 -5.118393257458161 6582.264999999999 9.4
1953.0 572.1377220210351 -5.0486362591251535 6750.946999999999 8.93
1954.0 592.0246508018661 -5.266370638615863 6838.955 8.95
1955.0 602.3391403690259 -5.417198726791986 7488.013999999999 8.93
1956.0 567.3626013105722 -5.551979507961173 7983.058999999999 8.94
1957.0 565.2613726504558 -5.03543139621775 8324.09 8.74
1958.0 553.6657009829303 -5.160540610450081 8544.109999999999 8.66
1959.0 564.0514700810477 -5.11448310053459 8998.818 9.01
1960.0 567.0526642524608 -5.363046789676365 9420.523 8.57
1961.0 569.7008967063339 -5.065334181180674 9460.859999999999 8.71
1962.0 564.9168865321601 -5.20270556705182 9849.562 8.74
1963.0 564.3927142610804 -4.977853940334551 10388.610999999999 9.03
1964.0 601.7507371960705 -5.5633697620279445 10982.664999999999 8.91
1965.0 551.8054880151747 -5.3178177271943445 11477.71 8.84
1966.0 594.6115235385398 -5.223441900902415 12057.096 8.84
1967.0 586.2486549405074 -5.05629454791055 12442.131 8.58
1968.0 572.9654811174352 -5.3774404351325 13076.521999999999 8.76
1969.0 566.5982195206051 -5.313646030924869 13861.259999999998 9.04
1970.0 555.662528022075 -5.115999885037654 14862.350999999999 8.82
1971.0 561.7195076737358 -5.16173873368973 15430.735999999999 8.68
1972.0 551.9176840834679 -5.324206041271536 16046.792 8.92
1973.0 580.9153345404393 -4.937949430936377 16919.538 8.56
1974.0 574.1917183997231 -5.23029329769502 16952.540999999997 8.49
1975.0 576.4288541127804 -5.027265117548967 16853.532 8.53
1976.0 556.2123857561645 -5.494899264240967 17836.288 8.66
1977.0 575.4537247801328 -5.027857892165327 18430.342 8.61
1978.0 560.6442102086587 -5.169694487555338 18654.029 8.62
1979.0 560.1796301086462 -5.282777562223353 19688.123 8.61
1980.0 553.4302121055359 -4.651901549117655 19490.105 8.76
1981.0 558.7559191239895 -4.43374540150601 18892.384 8.58
1982.0 547.7763019486096 -5.128117994481828 18749.371 8.82
1983.0 539.1077901362281 -4.8407142754498125 18679.698 8.93
1984.0 544.110143990341 -4.916732051503109 19361.76 8.4
1985.0 529.1443998965353 -5.073440463873095 19944.813 8.16
