,Longitude,Latitude,2000 Annual Average,2001 Annual Average,2002 Annual Average,2003 Annual Average,2004 Annual Average,2005 Annual Average
0,110.0,74.0,0.191943908365151,0.19290291565428672,0.1928247311827957,0.20078304256803908,0.2018587740805604,0.20409105263157892
1,111.0,74.0,0.191943908365151,0.19290291565428672,0.1928247311827957,0.20078304256803908,0.2018587740805604,0.20409105263157892
2,52.0,72.0,0.21444140923290525,0.21551284276292956,0.21542545959070414,0.22431657362177249,0.2255183887915937,0.2280122807017544
3,83.0,72.0,0.21444140923290525,0.21551284276292956,0.21542545959070414,0.22431657362177249,0.2255183887915937,0.2280122807017544
4,100.0,72.0,0.21444140923290525,0.21551284276292956,0.21542545959070414,0.22431657362177249,0.2255183887915937,0.2280122807017544
5,101.0,72.0,0.21444140923290525,0.21551284276292956,0.21542545959070414,0.22431657362177249,0.2255183887915937,0.2280122807017544
6,102.0,72.0,0.21444140923290525,0.21551284276292956,0.21542545959070414,0.22431657362177249,0.2255183887915937,0.2280122807017544
7,103.0,72.0,0.21444140923290525,0.21551284276292956,0.21542545959070414,0.22431657362177249,0.2255183887915937,0.2280122807017544
8,128.0,72.0,0.21444140923290525,0.21551284276292956,0.21542545959070414,0.22431657362177249,0.2255183887915937,0.2280122807017544
9,136.0,72.0,0.21444140923290525,0.21551284276292956,0.21542545959070414,0.22431657362177249,0.2255183887915937,0.2280122807017544
10,-160.0,71.0,0.003756268656716418,0.0036544429017702188,0.00370256677072494,0.0037266957431960923,0.0037933274956217173,0.003818080701754386
11,-159.0,71.0,0.003756268656716418,0.0036544429017702188,0.00370256677072494,0.0037266957431960923,0.0037933274956217173,0.003818080701754386
12,-158.0,71.0,0.003756268656716418,0.0036544429017702188,0.00370256677072494,0.0037266957431960923,0.0037933274956217173,0.003818080701754386
13,-157.0,71.0,0.003756268656716418,0.0036544429017702188,0.00370256677072494,0.0037266957431960923,0.0037933274956217173,0.003818080701754386
14,-156.0,71.0,0.003756268656716418,0.0036544429017702188,0.00370256677072494,0.0037266957431960923,0.0037933274956217173,0.003818080701754386
15,-155.0,71.0,0.003756268656716418,0.0036544429017702188,0.00370256677072494,0.0037266957431960923,0.0037933274956217173,0.003818080701754386
16,-154.0,71.0,0.003756268656716418,0.0036544429017702188,0.00370256677072494,0.0037266957431960923,0.0037933274956217173,0.003818080701754386
17,-153.0,71.0,0.003756268656716418,0.0036544429017702188,0.00370256677072494,0.0037266957431960923,0.0037933274956217173,0.003818080701754386
18,-152.0,71.0,0.003756268656716418,0.0036544429017702188,0.00370256677072494,0.0037266957431960923,0.0037933274956217173,0.003818080701754386
19,-151.0,71.0,0.003756268656716418,0.0036544429017702188,0.00370256677072494,0.0037266957431960923,0.0037933274956217173,0.003818080701754386
20,-150.0,71.0,0.003756268656716418,0.0036544429017702188,0.00370256677072494,0.0037266957431960923,0.0037933274956217173,0.003818080701754386
21,-149.0,71.0,0.003756268656716418,0.0036544429017702188,0.00370256677072494,0.0037266957431960923,0.0037933274956217173,0.003818080701754386
22,24.0,71.0,0.1017599097535578,0.11355178757375912,0.09957127991675338,0.11291873691556174,0.1136170227670753,0.11305915789473685
23,25.0,71.0,0.1017599097535578,0.11355178757375912,0.09957127991675338,0.11291873691556174,0.1136170227670753,0.11305915789473685
24,27.0,71.0,0.1017599097535578,0.11355178757375912,0.09957127991675338,0.11291873691556174,0.1136170227670753,0.11305915789473685
25,28.0,71.0,0.1017599097535578,0.11355178757375912,0.09957127991675338,0.11291873691556174,0.1136170227670753,0.11305915789473685
26,29.0,71.0,0.1017599097535578,0.11355178757375912,0.09957127991675338,0.11291873691556174,0.1136170227670753,0.11305915789473685
27,82.0,71.0,0.2255920860812218,0.22671919472405416,0.22662729795352066,0.2359807048150733,0.2372450437828371,0.2398685964912281
28,134.0,71.0,0.2255920860812218,0.22671919472405416,0.22662729795352066,0.2359807048150733,0.2372450437828371,0.2398685964912281
29,136.0,71.0,0.2255920860812218,0.22671919472405416,0.22662729795352066,0.2359807048150733,0.2372450437828371,0.2398685964912281
30,142.0,71.0,0.2255920860812218,0.22671919472405416,0.22662729795352066,0.2359807048150733,0.2372450437828371,0.2398685964912281
31,147.0,71.0,0.2255920860812218,0.22671919472405416,0.22662729795352066,0.2359807048150733,0.2372450437828371,0.2398685964912281
32,148.0,71.0,0.2255920860812218,0.22671919472405416,0.22662729795352066,0.2359807048150733,0.2372450437828371,0.2398685964912281
33,149.0,71.0,0.2255920860812218,0.22671919472405416,0.22662729795352066,0.2359807048150733,0.2372450437828371,0.2398685964912281
34,150.0,71.0,0.2255920860812218,0.22671919472405416,0.22662729795352066,0.2359807048150733,0.2372450437828371,0.2398685964912281
35,151.0,71.0,0.2255920860812218,0.22671919472405416,0.22662729795352066,0.2359807048150733,0.2372450437828371,0.2398685964912281
36,152.0,71.0,0.2255920860812218,0.22671919472405416,0.22662729795352066,0.2359807048150733,0.2372450437828371,0.2398685964912281
37,153.0,71.0,0.2255920860812218,0.22671919472405416,0.22662729795352066,0.2359807048150733,0.2372450437828371,0.2398685964912281
